Ingredient_Name,Harmfulness_Score,Effect_On_Human_Body
Water,1,Safe solvent used as a base for dissolving other ingredients
Glycerin,1,Hydrates skin and helps maintain moisture balance
Xanthan Gum,1,Natural thickener; non-toxic and skin-safe
Carbomer,1,Thickening agent; generally safe for topical use
Sodium Gluconate,1,Chelating agent that improves product stability
Citric Acid,2,pH adjuster; may cause mild irritation on very sensitive skin
Sodium Chloride,2,Thickener; excessive amounts may cause dryness
Sodium Lauroyl Lactylate,2,Mild surfactant that supports skin barrier function
Cholesterol,2,Supports skin barrier and moisture retention
Ceramide NP,2,Helps restore and protect the skin barrier
Ceramide AP,2,Improves skin hydration and resilience
Ceramide EOP,2,Strengthens skin’s protective layer
Phytosphingosine,2,Supports skin barrier and has antimicrobial benefits
Helianthus Annuus (Sunflower) Seed Oil,2,Nourishes skin and provides antioxidant benefits
Lens Esculenta (Lentil) Seed Extract,2,Provides conditioning and antioxidant properties
Hydrolyzed Cicer Seed Extract,2,Strengthens hair and improves texture
Chenopodium Quinoa Seed Extract,2,Rich in amino acids; nourishes hair and skin
Prunus Armeniaca (Apricot) Kernel Oil,2,Softens skin and improves moisture retention
Sodium Benzoate,3,Preservative; safe at low concentrations
Sodium Hydroxide,3,pH adjuster; can irritate if improperly balanced
PEG-45M,3,Thickener; generally safe but may enhance ingredient penetration
Guar Hydroxypropyltrimonium Chloride,3,Conditioning agent; low irritation risk
Mica,3,Cosmetic pigment; inhalation risk in powder form only
Titanium Dioxide,3,UV filter and colorant; safe in topical products
Cocamidopropyl Betaine,5,Mild surfactant; may cause allergic reactions in sensitive skin
Sodium Laureth Sulfate,7,Can strip natural oils and cause skin or scalp irritation
Cocamide MEA,6,Foam booster; may cause irritation with prolonged exposure
Glycol Distearate,4,Opacifying agent; low health risk
Dimethiconol,3,Silicone that smooths hair; non-toxic but non-biodegradable
Trideceth-10,4,Emulsifier; may increase skin penetration of other chemicals
TEA-Dodecylbenzenesulfonate,8,Strong surfactant; high irritation potential
Amodimethicone,3,Conditioning silicone; low direct toxicity
Cetrimonium Chloride,6,Antistatic agent; toxic if ingested and irritating at high levels
Trideceth-12,4,Emulsifier; moderate irritation risk
Acrylates/Beheneth-25 Methacrylate Copolymer,5,Film-former; low toxicity but poor biodegradability
Styrene/Acrylates Copolymer,6,Synthetic polymer; potential environmental and skin concerns
Disodium EDTA,4,Chelating agent; can enhance absorption of other chemicals
Fragrance,8,Common cause of allergic reactions and skin sensitivity
Alpha-Isomethyl Ionone,7,Fragrance allergen; may cause skin sensitization
Citronellol,7,Fragrance allergen linked to irritation
Coumarin,7,Potential allergen; may cause skin reactions
Geraniol,7,Fragrance compound; known skin sensitizer
Linalool,7,Fragrance allergen that oxidizes and irritates skin
Water,1,Safe solvent used as the base of most personal care products
Citric Acid,2,Adjusts pH; may cause mild irritation on sensitive skin
Sodium Citrate,2,Buffering agent that helps maintain product pH
Sodium Chloride,2,Thickener; excessive use may dry skin or scalp
Guar Hydroxypropyltrimonium Chloride,3,Conditioning agent; low irritation risk
Sodium Benzoate,3,Preservative; safe at regulated concentrations
Dimethicone,3,Silicone that smooths hair and reduces moisture loss
Glycol Distearate,4,Opacifying agent; low health risk
Cocamidopropyl Betaine,5,Mild surfactant; may cause allergic reactions in sensitive users
Sodium Xylenesulfonate,6,Surfactant that can increase skin irritation
Cocamide MEA,6,Foam booster; prolonged exposure may cause irritation
Benzyl Alcohol,6,Preservative and fragrance component; may irritate skin
Sodium Laureth Sulfate,7,Can strip natural oils and irritate skin or scalp
Fragrance,8,Common allergen; may cause irritation or sensitization
Climbazole,8,Antifungal agent; may cause irritation with prolonged use
Sodium Lauryl Sulfate,9,Strong surfactant; high risk of skin and eye irritation
Water,1,Safe solvent and base for cosmetic formulations
Citric Acid,2,pH adjuster; may mildly irritate sensitive skin
Sodium Citrate,2,Buffering agent that stabilizes product acidity
Sodium Chloride,2,Thickener; high amounts may dry skin or scalp
Dimethicone,3,Silicone that smooths hair and reduces moisture loss
Dimethiconol,3,Conditioning silicone; low direct toxicity
Guar Hydroxypropyltrimonium Chloride,3,Conditioning polymer; low irritation risk
Sodium Benzoate,3,Preservative; safe at regulated concentrations
Trideceth-10,4,Emulsifier; may increase skin penetration
Glycol Distearate,4,Opacifying agent; low health concern
Propylene Glycol,4,Humectant; may cause irritation in sensitive skin
Tetrasodium EDTA,4,Chelating agent; can enhance absorption of other chemicals
Cocamidopropyl Betaine,5,Mild surfactant; may cause allergic reactions
Sodium Xylenesulfonate,6,Surfactant that increases skin irritation risk
Piroctone Olamine,6,Antifungal agent; may irritate with prolonged exposure
Fragrance,8,Common allergen; may cause skin sensitization
Sodium Laureth Sulfate,7,Can strip natural oils and irritate skin
Sodium Lauryl Sulfate,9,Strong surfactant; high irritation potential
TEA-Dodecylbenzenesulfonate,8,Harsh surfactant; high irritation risk
Hexyl Cinnamal,7,Fragrance allergen; can cause skin sensitivity
Linalool,7,Fragrance allergen; oxidizes and irritates skin
Methylchloroisothiazolinone,10,Strong preservative; high risk of allergic reactions
Methylisothiazolinone,10,Potent allergen linked to contact dermatitis
CI 42090,5,Synthetic dye; may cause irritation in sensitive users
CI 17200,5,Artificial colorant; low toxicity but allergy risk
Water,1,Safe solvent and base ingredient in cosmetic products
Citric Acid,2,pH adjuster; may mildly irritate sensitive skin
Sodium Chloride,2,Thickener; excessive amounts may cause dryness
Lysine HCL,2,Amino acid that supports hair and skin conditioning
Hydrolyzed Milk Protein,2,Strengthens hair and improves moisture retention
Niacinamide,2,Supports skin barrier and improves scalp health
Pyridoxine HCL,2,Vitamin B6 derivative; supports skin metabolism
Sodium Ascorbyl Phosphate,2,Vitamin C derivative with antioxidant benefits
Tocopheryl Acetate,2,Vitamin E derivative; protects from oxidative damage
Dimethiconol,3,Conditioning silicone; low direct toxicity
Guar Hydroxypropyltrimonium Chloride,3,Conditioning polymer; low irritation risk
PEG-45M,3,Thickener; generally safe but increases penetration
Carbomer,3,Thickening agent; safe for topical application
Sodium Hydroxide,3,pH adjuster; irritating if not properly balanced
Disodium EDTA,4,Chelating agent; may enhance chemical penetration
Glycol Distearate,4,Opacifying agent; low health concern
Cocamidopropyl Betaine,5,Mild surfactant; may cause allergic reactions
Sodium Laureth Sulfate,7,Can strip natural oils and irritate scalp
Cocamide MEA,6,Foam booster; prolonged exposure may irritate skin
TEA-Dodecylbenzenesulfonate,8,Harsh surfactant with high irritation potential
Perfume (Fragrance),8,Common allergen; may cause skin sensitization
Mica,3,Cosmetic pigment; inhalation risk only in powder form
Titanium Dioxide,3,Colorant and UV filter; safe in topical use
DMDM Hydantoin,9,Formaldehyde-releasing preservative; allergenic
Methylchloroisothiazolinone,10,Potent preservative; high risk of contact dermatitis
Methylisothiazolinone,10,Strong allergen linked to skin sensitization
Linalool,7,Fragrance allergen that oxidizes and irritates skin
Hexyl Cinnamal,7,Fragrance allergen; may trigger skin reactions
Benzyl Benzoate,6,Fragrance component; may cause irritation
Coumarin,7,Fragrance allergen; sensitization risk
CI 42090,5,Synthetic dye; may irritate sensitive skin
Water,1,Safe solvent and base ingredient in cosmetic products
Sodium Chloride,2,Thickener; high concentrations may dry skin or scalp
Citric Acid,2,pH adjuster; may cause mild irritation on sensitive skin
Hydrolyzed Keratin,2,Strengthens hair structure and reduces breakage
Argania Spinosa (Argan Oil) Kernel Oil,2,Nourishes hair and skin; rich in antioxidants
Carbomer,3,Thickening agent; generally safe for topical use
Guar Hydroxypropyltrimonium Chloride,3,Conditioning polymer; low irritation risk
Dimethiconol,3,Conditioning silicone; low toxicity and smooths hair
Amodimethicone,3,Silicone conditioner; improves hair manageability
Titanium Dioxide,3,Colorant and UV filter; safe in topical application
Mica,3,Cosmetic pigment; safe for skin use
Glycol Distearate,4,Opacifying agent; low health concern
Trideceth-10,4,Emulsifier; may increase skin permeability
Trideceth-12,4,Emulsifier; moderate irritation risk
Disodium EDTA,4,Chelating agent; can enhance penetration of other chemicals
Cocamidopropyl Betaine,5,Mild surfactant; may cause irritation in sensitive individuals
Cetrimonium Chloride,6,Conditioning agent; irritating at higher concentrations
Sodium Hydroxide,6,pH adjuster; corrosive if not properly balanced
Sodium Laureth Sulfate,7,Can strip natural oils and irritate scalp and skin
Perfume (Fragrance),8,Common allergen; may cause skin sensitization
TEA-Dodecylbenzenesulfonate,8,Harsh surfactant with high irritation potential
DMDM Hydantoin,9,Formaldehyde-releasing preservative; allergenic risk
Water,1,Safe solvent and base ingredient in cosmetic formulations
Sodium Chloride,2,Thickener; excessive amounts may dry scalp
Citric Acid,2,pH adjuster; may mildly irritate sensitive skin
Hydrolyzed Keratin,2,Strengthens hair and reduces breakage
Argania Spinosa (Argan Oil) Kernel Oil,2,Nourishes hair and adds softness and shine
Carbomer,3,Thickening agent; generally safe for topical use
Guar Hydroxypropyltrimonium Chloride,3,Conditioning polymer; low irritation risk
Dimethiconol,3,Conditioning silicone; smooths hair and reduces frizz
Amodimethicone,3,Silicone conditioner; improves hair manageability
Mica,3,Cosmetic pigment; safe for skin use
Titanium Dioxide,3,Colorant and UV filter; safe in topical products
Glycol Distearate,4,Opacifying agent; low health concern
Trideceth-10,4,Emulsifier; may increase skin permeability
Trideceth-12,4,Emulsifier; moderate irritation risk
Disodium EDTA,4,Chelating agent; can enhance absorption of chemicals
Cocamidopropyl Betaine,5,Mild surfactant; may cause irritation in sensitive users
Cetrimonium Chloride,6,Conditioning agent; irritating at higher concentrations
Sodium Hydroxide,6,pH adjuster; corrosive if improperly balanced
Sodium Laureth Sulfate,7,Can strip natural oils and irritate scalp
Perfume (Fragrance),8,Common allergen; may cause skin sensitization
TEA-Dodecylbenzenesulfonate,8,Harsh surfactant with high irritation potential
Benzyl Salicylate,7,Fragrance allergen; may trigger skin reactions
Linalool,7,Fragrance allergen that oxidizes and irritates skin
Citronellol,7,Fragrance allergen linked to skin sensitivity
Alpha-Isomethyl Ionone,7,Fragrance allergen; sensitization risk
Hexyl Cinnamal,7,Fragrance allergen; may cause irritation
DMDM Hydantoin,9,Formaldehyde-releasing preservative; allergenic risk
Methylchloroisothiazolinone,10,Potent preservative; high risk of contact dermatitis
Methylisothiazolinone,10,Strong allergen linked to skin sensitization
Water,1,Safe solvent and base ingredient in formulations
Glycerin,1,Moisturizes skin and helps maintain hydration
Zea Mays (Corn) Starch,1,Absorbs moisture and improves texture
Sodium Glycinate,1,Mild surfactant; gentle on skin
Lauric Acid,2,Fatty acid with cleansing and antimicrobial properties
Sodium Chloride,2,Thickener; excess amounts may cause dryness
Sodium Carbonate,2,pH regulator; can be drying in high concentrations
Sodium Sulfate,2,Processing aid; low direct skin impact
Carbomer,3,Thickening agent; generally safe for topical use
PEG-45M,3,Thickener; generally safe but increases penetration
Sodium Ascorbyl Phosphate,2,Vitamin C derivative; antioxidant benefits
Vitamin E Acetate,2,Antioxidant that protects skin from damage
Pyridoxine HCL,2,Vitamin B6 derivative; supports skin metabolism
Niacinamide,2,Improves skin barrier and reduces irritation
VP/VA Copolymer,4,Film-forming polymer; low toxicity
Tetrasodium EDTA,4,Chelating agent; may increase chemical penetration
Tetrasodium Etidronate,4,Chelating agent; low toxicity
Sodium Palmate,5,Soap base; can be drying to skin
Sodium Palm Kernelate,5,Cleansing agent; may disrupt skin barrier
Sodium C14-C18 Olefin Sulfonate,7,Harsh surfactant; high irritation potential
Sodium Lauryl Sulfate,9,Strong surfactant; high risk of irritation
Fragrance,8,Common allergen; may cause skin sensitization
